,features/alcohol,features/chlorides,features/citric acid,features/density,features/fixed acidity,features/free sulfur dioxide,features/pH,features/residual sugar,features/sulphates,features/total sulfur dioxide,features/volatile acidity,quality,type
0,10.55,0.05,0.06,0.99236,6.0,38.0,3.3,1.8,0.5,89.0,0.54,6,red
1,11.6,0.086,0.31,1.0002,8.7,23.0,3.48,3.0,0.7400000095367432,81.0,0.69,6,red
2,11.7,0.012,0.28,0.99064,6.7,36.0,3.26,2.4,0.38999998569488525,100.0,0.28,7,red
3,9.5,0.078,0.24,0.9983,7.5,10.0,3.45,2.0,0.7799999713897705,28.0,0.55,6,red
4,9.2,0.088,0.26,0.9981,7.8,23.0,3.41,2.0,0.7400000095367432,48.0,0.54,6,red
5,10.0,0.066,0.09,0.99459,6.4,15.0,3.42,1.4,0.699999988079071,28.0,0.31,7,red
6,10.5,0.081,0.19,0.9984,9.8,8.0,3.23,3.2,0.5799999833106995,30.0,0.51,6,red
7,9.8,0.096,0.0,1.00025,8.1,26.0,3.6,3.3,0.7200000286102295,61.0,0.87,4,red
8,9.55,0.092,0.1,0.99745,8.6,3.0,3.31,1.6,0.6499999761581421,12.0,0.685,6,red
9,11.1,0.09,0.32,0.9966,7.2,43.0,3.32,2.5,0.7900000214576721,113.0,0.34,5,red
10,9.5,0.085,0.44,0.99708,9.3,9.0,3.28,1.9,0.550000011920929,22.0,0.43,5,red
11,9.4,0.078,0.32,0.998,9.8,35.0,3.25,2.3,0.47999998927116394,152.0,0.98,5,red
12,12.2,0.054,0.04,0.9927,5.2,19.0,3.54,1.6,0.6200000047683716,106.0,0.48,7,red
13,9.6,0.082,0.04,0.9976,8.4,10.0,3.22,2.0,0.4399999976158142,22.0,0.56,5,red
14,9.5,0.213,0.42,0.9994,10.3,6.0,3.19,2.4,0.6200000047683716,14.0,0.41,6,red
15,12.5,0.054,0.01,0.9934,5.3,5.0,3.57,1.7,0.8399999737739563,27.0,0.57,7,red
16,10.0,0.054,0.39,0.9976,10.2,6.0,3.17,1.9,0.4699999988079071,17.0,0.67,5,red
17,11.9,0.066,0.4,0.9912,6.1,40.5,3.25,1.4,0.5899999737739563,165.0,0.21,6,red
18,11.6,0.089,0.09,0.99402,5.4,16.0,3.67,1.7,0.5600000023841858,26.0,0.74,6,red
19,11.8,0.072,0.12,0.99504,8.4,38.0,3.38,1.8,0.8899999856948853,46.0,0.62,6,red
20,9.6,0.095,0.0,0.99854,8.1,5.0,3.36,4.1,0.5299999713897705,14.0,0.82,5,red
21,9.3,0.072,0.17,0.9963,8.2,11.0,3.2,2.3,0.44999998807907104,73.0,0.6,5,red
22,9.2,0.075,0.44,1.00005,15.0,10.0,3.07,2.2,0.8399999737739563,24.0,0.21,7,red
23,10.9,0.071,0.19,0.99476,7.0,18.0,3.39,2.3,0.5600000023841858,36.0,0.42,5,red
24,10.2,0.09,0.31,0.9994,10.0,26.0,3.18,2.2,0.6299999952316284,62.0,0.59,6,red
25,11.9,0.076,0.15,0.99622,6.2,13.0,3.54,5.1,0.6000000238418579,27.0,0.7,6,red
26,10.5,0.074,0.36,0.9978,7.3,12.0,3.33,5.9,0.8299999833106995,87.0,0.45,5,red
27,11.5,0.091,0.0,0.99488,7.1,9.0,3.42,2.1,0.550000011920929,14.0,0.59,7,red
28,10.1,0.059,0.33,0.99531,6.5,16.0,3.36,1.8,0.6399999856948853,28.0,0.63,6,red
